id,site,identifiant
414ad9e5-b970-4595-8f6c-44ade63b38fc,2,tt0089530
b43b7e4f-3e71-45a0-b55e-2b5b82ccae70,1,11797
b43b7e4f-3e71-45a0-b55e-2b5b82ccae70,2,tt0089175
629a01e7-1e63-407a-b2cd-04ad16438f47,1,83223
629a01e7-1e63-407a-b2cd-04ad16438f47,2,tt0086176
695fb599-9b9f-481e-9f62-ce52dddf918c,1,9710
695fb599-9b9f-481e-9f62-ce52dddf918c,2,tt0092534
412db3da-061b-4b62-9015-00649a08eb45,1,1369
412db3da-061b-4b62-9015-00649a08eb45,2,tt0089880
0ae82a80-bedc-4bc2-b6d7-d7eaab3d8bac,1,12102
0ae82a80-bedc-4bc2-b6d7-d7eaab3d8bac,2,tt0079417
0ae7f4b9-cd5d-4740-ab4b-24d5faeac626,1,402
0ae7f4b9-cd5d-4740-ab4b-24d5faeac626,2,tt0103772
af80d4cc-e34a-48d0-85ed-a1227216eb88,1,10915
af80d4cc-e34a-48d0-85ed-a1227216eb88,2,tt0073036
22038333-cf97-4ff0-bb8c-1c418370f2a8,1,948
22038333-cf97-4ff0-bb8c-1c418370f2a8,2,tt0077651
24c952a2-3133-4767-86f5-e0082341b124,1,12151
24c952a2-3133-4767-86f5-e0082341b124,2,tt0091877
ace1de16-80cc-4094-b70a-94401c7d049e,1,85
ace1de16-80cc-4094-b70a-94401c7d049e,2,tt0082971
6d02e5b2-c17b-4d89-9f7c-c626136f0a57,1,9671
6d02e5b2-c17b-4d89-9f7c-c626136f0a57,2,tt0090555
b9eaf0c7-062e-4a1c-8431-f51b31088290,1,11286
b9eaf0c7-062e-4a1c-8431-f51b31088290,2,tt0082136
80c07340-a069-476a-a0a0-2460dc69b3cc,1,6978
80c07340-a069-476a-a0a0-2460dc69b3cc,2,tt0090728
e8f50c9e-8e3c-4b73-9e92-562bf984113a,1,10925
e8f50c9e-8e3c-4b73-9e92-562bf984113a,2,tt0089907
7abca311-7572-49bb-8565-e3648fcb1989,1,115
7abca311-7572-49bb-8565-e3648fcb1989,2,tt0118715
e4e5143d-c8b6-44ae-8d83-0699c1fb9272,1,2924
e4e5143d-c8b6-44ae-8d83-0699c1fb9272,2,tt0101393
84ed3f64-88ea-4e96-a670-0f3095ececf2,1,9618
84ed3f64-88ea-4e96-a670-0f3095ececf2,2,tt0098439
6277443a-d0cc-4c54-bcde-3f43c896503d,1,137
6277443a-d0cc-4c54-bcde-3f43c896503d,2,tt0107048
6076c30d-c5ab-4e95-971a-425f2f4aa075,1,274
6076c30d-c5ab-4e95-971a-425f2f4aa075,2,tt0102926
bd4537b9-afdc-494d-ac70-76cab133fa4c,1,11595
bd4537b9-afdc-494d-ac70-76cab133fa4c,2,tt0099044
eb4c69f6-9fa5-4eb7-9a16-0259a9eac719,1,105
eb4c69f6-9fa5-4eb7-9a16-0259a9eac719,2,tt0088763
5b946f8f-76e1-46cd-b2f9-e5f85d10af02,1,87337
5b946f8f-76e1-46cd-b2f9-e5f85d10af02,2,tt0099400
ca94860d-56c2-4b68-ac00-6d48d0de8ee4,1,106
ca94860d-56c2-4b68-ac00-6d48d0de8ee4,2,tt0093773
9b4a8296-c6fe-40c6-b1c5-9807b2004976,1,1825
9b4a8296-c6fe-40c6-b1c5-9807b2004976,2,tt0093692
