abonnement_id,created_at,adherent_id,panier_id,date_debut,nombre,montant,mode_paiement_id,saison_id
28182,2025-02-09 16:31:43.10943+00,258210,1,,,,,1
28183,2025-02-09 16:31:43.10943+00,258683,1,,,,,1
28184,2025-02-09 16:31:43.10943+00,119994,1,,,,,1
28185,2025-02-09 16:31:43.10943+00,21488,1,,,,,1
28186,2025-02-09 16:31:43.10943+00,259854,1,,,,,1
28187,2025-02-09 16:31:43.10943+00,258515,1,,,,,1
28188,2025-02-09 16:31:43.10943+00,257603,3,,,,,1
28984,2025-02-09 16:31:43.10943+00,260053,9,,,,,1
28190,2025-02-09 16:31:43.10943+00,259495,1,,,,,1
28191,2025-02-09 16:31:43.10943+00,259492,1,,,,,1
28192,2025-02-09 16:31:43.10943+00,258784,1,,,,,1
28193,2025-02-09 16:31:43.10943+00,258166,1,,,,,1
28194,2025-02-09 16:31:43.10943+00,166159,7,,,,,1
28195,2025-02-09 16:31:43.10943+00,258534,1,,,,,1
28196,2025-02-09 16:31:43.10943+00,257660,1,,,,,1
28197,2025-02-09 16:31:43.10943+00,513,1,,,,,1
28198,2025-02-09 16:31:43.10943+00,183459,1,,,,,1
28199,2025-02-09 16:31:43.10943+00,224,1,,,,,1
28200,2025-02-09 16:31:43.10943+00,257869,1,,,,,1
28945,2025-02-09 16:31:43.10943+00,258866,4,,,,,1
28202,2025-02-09 16:31:43.10943+00,258291,1,,,,,1
28203,2025-02-09 16:31:43.10943+00,258429,1,,,,,1
28204,2025-02-09 16:31:43.10943+00,178012,1,,,,,1
28205,2025-02-09 16:31:43.10943+00,237779,1,,,,,1
28206,2025-02-09 16:31:43.10943+00,258339,1,,,,,1
28208,2025-02-09 16:31:43.10943+00,257941,2,,,,,1
28209,2025-02-09 16:31:43.10943+00,54415,1,,,,,1
28210,2025-02-09 16:31:43.10943+00,258281,1,,,,,1
28211,2025-02-09 16:31:43.10943+00,548,1,,,,,1
28212,2025-02-09 16:31:43.10943+00,1544,1,,,,,1
28213,2025-02-09 16:31:43.10943+00,314,2,,,,,1
28214,2025-02-09 16:31:43.10943+00,173,3,,,,,1
28215,2025-02-09 16:31:43.10943+00,258090,3,,,,,1
28216,2025-02-09 16:31:43.10943+00,174,1,,,,,1
28217,2025-02-09 16:31:43.10943+00,24312,1,,,,,1
28218,2025-02-09 16:31:43.10943+00,258095,1,,,,,1
28219,2025-02-09 16:31:43.10943+00,1546,1,,,,,1
29576,2025-02-09 16:31:43.10943+00,259871,11,,,,,1
28221,2025-02-09 16:31:43.10943+00,257585,2,,,,,1
28222,2025-02-09 16:31:43.10943+00,258014,1,,,,,1
